product_id,categoriesID,name,price,image.image_link,image.alt,url
E474894-000,outerwear,Áo Khoác Cản Gió,1.275.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474894/item/vngoods_69_474894_3x4.jpg?width=294,Áo Khoác Cản Gió,https://www.uniqlo.com/vn/vi/products/E474894-000
E475681-000,outerwear,Áo Khoác Blouson Kéo Khóa,1.275.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475681/item/vngoods_09_475681_3x4.jpg?width=294,Áo Khoác Blouson Kéo Khóa,https://www.uniqlo.com/vn/vi/products/E475681-000
E464918-000,outerwear,Áo Khoác Cản Gió Cổ Trụ,1.275.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/464918/item/vngoods_03_464918_3x4.jpg?width=294,Áo Khoác Cản Gió Cổ Trụ,https://www.uniqlo.com/vn/vi/products/E464918-000
E480827-000,outerwear,Áo Khoác Blouson Dáng Ngắn Kéo Khóa,1.275.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/480827/item/vngoods_68_480827_3x4.jpg?width=294,Áo Khoác Blouson Dáng Ngắn Kéo Khóa,https://www.uniqlo.com/vn/vi/products/E480827-000
E478231-000,outerwear,Áo Parka Chắn Gió,1.275.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478231/item/vngoods_26_478231_3x4.jpg?width=294,Áo Parka Chắn Gió,https://www.uniqlo.com/vn/vi/products/E478231-000
E478230-000,outerwear,Áo Khoác Blouson Dáng Ngắn Kéo Khóa,1.275.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478230/item/vngoods_57_478230_3x4.jpg?width=294,Áo Khoác Blouson Dáng Ngắn Kéo Khóa,https://www.uniqlo.com/vn/vi/products/E478230-000
E478277-000,outerwear,Hybrid Down Áo Parka,2.944.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478277/item/vngoods_09_478277_3x4.jpg?width=294,Hybrid Down Áo Parka,https://www.uniqlo.com/vn/vi/products/E478277-000
E480060-000,outerwear,Áo Khoác Dáng Ngắn,1.471.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/480060/item/vngoods_38_480060_3x4.jpg?width=294,Áo Khoác Dáng Ngắn,https://www.uniqlo.com/vn/vi/products/E480060-000
E449753-000,outerwear,Áo Khoác Giả Lông Cừu Loại Dày Kéo Khóa,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/449753/item/vngoods_01_449753_3x4.jpg?width=294,Áo Khoác Giả Lông Cừu Loại Dày Kéo Khóa,https://www.uniqlo.com/vn/vi/products/E449753-000
E480800-000,outerwear,Áo Khoác Giả Lông Cừu Kéo Khóa,980.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/480800/item/vngoods_30_480800_3x4.jpg?width=294,Áo Khoác Giả Lông Cừu Kéo Khóa,https://www.uniqlo.com/vn/vi/products/E480800-000
E479751-000,outerwear,PUFFTECH Áo Khoác Chần Bông,1.471.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479751/item/vngoods_73_479751_3x4.jpg?width=294,PUFFTECH Áo Khoác Chần Bông,https://www.uniqlo.com/vn/vi/products/E479751-000
E479212-000,outerwear,Powder Soft Down Áo Khoác Lông Vũ,1.962.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479212/item/vngoods_61_479212_3x4.jpg?width=294,Powder Soft Down Áo Khoác Lông Vũ,https://www.uniqlo.com/vn/vi/products/E479212-000
E481006-000,outerwear,Áo Khoác Vải Jersey Mềm,1.471.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481006/item/vngoods_07_481006_3x4.jpg?width=294,Áo Khoác Vải Jersey Mềm,https://www.uniqlo.com/vn/vi/products/E481006-000
E481241-000,outerwear,Áo Choàng Balmacaan | Họa Tiết,2.453.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481241/item/vngoods_34_481241_3x4.jpg?width=294,Áo Choàng Balmacaan | Họa Tiết,https://www.uniqlo.com/vn/vi/products/E481241-000
E479210-000,outerwear,PUFFTECH Áo Gi Lê Chần Bông Dáng Lửng,980.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479210/item/vngoods_57_479210_3x4.jpg?width=294,PUFFTECH Áo Gi Lê Chần Bông Dáng Lửng,https://www.uniqlo.com/vn/vi/products/E479210-000
E478270-000,outerwear,PUFFTECH Áo Gile Chần Bông,980.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478270/item/vngoods_77_478270_3x4.jpg?width=294,PUFFTECH Áo Gile Chần Bông,https://www.uniqlo.com/vn/vi/products/E478270-000
E469863-000,outerwear,PUFFTECH Áo Gile Chần Bông Gọn Nhẹ,980.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/469863/item/vngoods_10_469863_3x4.jpg?width=294,PUFFTECH Áo Gile Chần Bông Gọn Nhẹ,https://www.uniqlo.com/vn/vi/products/E469863-000
